user_id,movie_id,rating
u289,m1,8
u957,m1,5
u248,m1,8
u438,m1,6
u242,m1,9
u339,m1,10
u217,m1,8
u184,m1,8
u908,m1,10
u306,m1,10
u368,m1,9
u537,m1,9
u290,m1,8
u309,m1,9
u276,m1,9
u569,m1,9
u548,m1,9
u812,m1,8
u889,m2,4
u269,m2,3
u381,m2,3
u285,m2,5
u649,m2,3
u102,m2,4
u569,m2,7
u149,m2,3
u876,m2,7
u1050,m2,7
u119,m2,4
u334,m2,3
u256,m2,3
u610,m2,5
u843,m2,3
u683,m2,4
u499,m2,7
u1045,m2,3
u792,m2,7
u997,m2,7
u811,m2,5
u302,m2,5
u880,m2,4
u1096,m2,4
u781,m2,4
u219,m3,7
u49,m3,5
u698,m3,7
u1067,m3,6
u260,m3,9
u266,m3,6
u235,m3,8
u1082,m3,8
u578,m3,9
u585,m3,7
u595,m3,7
u217,m3,5
u447,m3,7
u304,m3,6
u609,m3,9
u356,m3,6
u482,m3,8
u618,m3,8
u671,m3,9
u591,m3,7
u522,m3,7
u789,m3,5
u315,m3,7
u116,m3,6
u407,m3,9
u382,m3,6
u517,m3,8
u629,m3,8
u313,m3,9
u559,m3,7
u335,m3,7
u656,m3,5
u445,m3,7
u410,m3,6
u457,m3,9
u616,m3,6
u247,m3,8
u472,m3,8
u243,m3,9
u308,m3,7
u506,m3,7
u414,m3,5
u649,m3,7
u373,m3,6
u531,m3,9
u249,m3,6
u404,m3,8
u435,m3,8
u1001,m3,9
u325,m3,7
u399,m3,7
u718,m3,5
u679,m3,7
u458,m3,6
u225,m3,9
u415,m3,6
u611,m3,8
u949,m3,8
u1092,m3,9
u394,m3,7
u180,m4,7
u704,m4,5
u48,m4,6
u111,m4,6
u1055,m4,9
u323,m4,4
u164,m4,8
u40,m4,8
u80,m4,9
u137,m4,6
u27,m4,7
u304,m4,5
u2,m4,6
u108,m4,6
u134,m4,9
u587,m4,4
u172,m4,8
u840,m4,8
u104,m4,9
u289,m4,6
u82,m4,7
u110,m4,6
u63,m4,7
u421,m4,6
u98,m4,6
u169,m4,6
u47,m4,6
u993,m4,7
u1013,m5,8
u1060,m5,7
u1045,m5,6
u57,m5,5
u32,m5,4
u747,m5,4
u921,m5,8
u397,m5,3
u229,m5,7
u1084,m5,7
u973,m5,6
u807,m6,7
u203,m6,6
u1005,m6,6
u1069,m6,7
u1026,m6,8
u601,m6,4
u614,m6,8
u1075,m6,3
u1086,m6,7
u926,m6,7
u1087,m6,7
u826,m7,4
u523,m7,3
u686,m7,3
u613,m7,4
u176,m7,6
u547,m7,4
u104,m7,2
u766,m7,3
u1000,m7,4
u859,m7,4
u935,m7,4
u606,m7,3
u54,m7,3
u1078,m7,4
u159,m7,6
u552,m7,4
u133,m7,2
u847,m7,3
u1028,m7,4
u213,m7,4
u361,m7,4
u893,m7,3
u289,m7,3
u114,m7,4
u204,m7,6
u733,m7,4
u629,m7,2
u854,m7,3
u84,m7,4
u735,m7,4
u98,m7,4
u1068,m7,3
u842,m7,3
u1086,m7,4
u964,m7,6
u929,m7,4
u1048,m7,2
u801,m7,3
u368,m7,4
u888,m7,4
u530,m7,4
u1034,m7,3
u10,m7,3
u1001,m8,8
u818,m8,7
u978,m8,6
u559,m8,5
u1054,m8,4
u1045,m8,4
u931,m8,8
u699,m8,3
u871,m8,7
u925,m8,7
u404,m8,5
u486,m8,6
u1009,m8,6
u376,m8,6
u1014,m8,5
u954,m8,6
u874,m9,2
u1067,m9,3
u331,m9,3
u124,m9,3
u79,m9,3
u312,m9,2
u463,m9,4
u1055,m9,3
u441,m9,2
u1094,m9,2
u645,m9,2
u653,m9,3
u747,m9,3
u155,m9,3
